state_name,zip_code,latitude,longitude
Alaska,99559,59.964458,-162.882863
Alaska,99620,63.028875,-163.535732
Alaska,99752,66.870452,-162.511447
Alaska,99753,64.939607,-161.151272
Alaska,99754,64.902278,-157.694303
Alaska,,65.882327,-153.221542
Alaska,99833,56.821295,-132.972152
Alaska,,62.283588,-163.190171
Alaska,99621,60.79107,-161.426777
Alaska,99622,59.876315,-163.158336
Alaska,99588,62.296945,-146.531845
Alaska,99757,63.790117,-152.462155
Alaska,,58.108674,-156.414001
Alaska,99645,61.60775,-149.305267
Alaska,99654,61.60775,-149.305267
Alaska,99615,57.550964,-154.004902
Alaska,99624,57.550964,-154.004902
Alaska,99645,61.657536,-148.928502
Alaska,99625,59.08021,-156.905229
Alaska,99557,61.348183,-155.374403
Alaska,99790,65.476506,-148.422784
Alaska,99901,55.606641,-131.639957
Alaska,99664,60.076367,-149.492517
Alaska,99607,61.515813,-160.357635
Alaska,99626,61.515813,-160.357635
Alaska,,60.385009,-162.684337
Alaska,99827,59.383657,-135.545695
Alaska,99756,65.018757,-150.645281
Alaska,99628,59.003785,-158.995236
Alaska,99585,61.881129,-162.060842
Alaska,,62.279075,-149.617562
Alaska,99566,61.453957,-142.864693
Alaska,99627,62.938077,-155.548556
Alaska,,62.860095,-157.058167
Alaska,99743,63.57287,-148.67345
Alaska,99755,63.57287,-148.67345
Alaska,99654,61.638206,-149.609937
Alaska,99688,61.638206,-149.609937
Alaska,99694,61.638206,-149.609937
Alaska,99630,60.37073,-166.266987
Alaska,99588,62.14674,-146.761126
Alaska,99586,63.022206,-143.507365
Alaska,99780,63.022206,-143.507365
Alaska,,60.810993,-164.49911
Alaska,99926,55.114699,-131.555726
Alaska,,55.138352,-131.470425
Alaska,99758,65.08964,-149.59022
Alaska,99705,64.716369,-147.166627
Alaska,99631,60.505939,-149.468364
Alaska,99827,59.493427,-136.186839
Alaska,99632,62.094448,-163.715339
Alaska,99827,59.120487,-135.341446
Alaska,99586,62.451571,-142.934597
Alaska,99633,58.798573,-156.90468
Alaska,99603,59.326523,-151.923902
Alaska,99634,60.682896,-161.998964
Alaska,99559,60.697551,-161.748891
Alaska,99921,55.877257,-133.203423
Alaska,99588,62.009856,-146.829712
Alaska,99571,55.898813,-161.539712
Alaska,99760,64.537903,-149.071851
Alaska,99720,66.538603,-152.621292
Alaska,99636,59.48555,-157.308109
Alaska,99606,59.73686,-154.90077
Alaska,99640,59.73686,-154.90077
Alaska,99559,60.935052,-164.645901
Alaska,99690,60.464284,-164.836715
Alaska,99611,60.724988,-151.224024
Alaska,99556,59.829553,-151.596382
Alaska,99691,62.99853,-154.37461
Alaska,99638,52.999416,-168.739749
Alaska,99568,60.062246,-151.404177
Alaska,99639,60.062246,-151.404177
Alaska,99761,67.589497,-163.010332
Alaska,99762,64.505736,-165.415307
Alaska,,64.783686,-164.188912
Alaska,99640,59.976557,-154.863921
Alaska,99763,66.827182,-161.029203
Alaska,99705,64.752728,-147.362655
Alaska,,69.449343,-153.47283
Alaska,99764,62.959834,-141.837395
Alaska,99764,62.981892,-141.926949
Alaska,99764,63.02412,-141.791252
Alaska,,67.005066,-160.021086
Alaska,99789,70.217102,-150.995545
Alaska,99765,64.689872,-158.28377
Alaska,99666,62.506535,-164.900384
Alaska,99641,60.880266,-162.460278
Alaska,99643,57.22004,-153.330498
Alaska,99559,60.723428,-161.787508
Alaska,99644,57.925058,-152.461656
Alaska,99645,61.597369,-149.114763
Alaska,99737,63.048811,-145.637766
Alaska,99647,59.782161,-154.107931
Alaska,99832,57.9598,-136.216753
Alaska,99648,55.930191,-159.146431
Alaska,99833,56.763209,-132.87574
Alaska,,57.112458,-133.008598
Alaska,99683,62.473402,-150.876787
Alaska,99649,57.543637,-157.719016
Alaska,99650,61.946654,-162.878297
Alaska,99658,62.037393,-163.266822
Alaska,99651,58.951278,-161.747491
Alaska,99712,64.885434,-146.898609
Alaska,99927,56.348132,-133.616794
